id,slice,plugin,package,class,file_path,category,issue_type,severity,confidence,status,title,description,instances,trigger_input,suggested_fix,effort,llm_value,related,github_issue
CR-001,A8,org.mwc.asset.legacy,ASSET.Models.Sensor.Initial,NarrowbandSensor,org.mwc.asset.legacy/src/ASSET/Models/Sensor/Initial/NarrowbandSensor.java,algorithm-correctness,logic-error,Critical,High,candidate,Narrowband sensor reports a contact on every narrowband target regardless of ...,"detectThis calls super.detectThis (sonar-equation gate) only when hasBearing is true (L322-L323); then, whenever the target has a NarrowbandRadNoise medium, it creates a DetectionEvent if res is null (L332-L336) and attaches a Doppler frequency. Consequently a target that failed the signal-excess test (or when HasBearing=false) is still reported as detected, at any range, with course and speed. The propagation-loss/steady-array gating is bypassed for all narrowband contacts. (Lines re-read by the merging reviewer; the code matches the description.)",L322-L336,Scenario with a NarrowbandSensor on ownship and a target with NarrowbandRadNoise placed 500 nm away: a detection with frequency is produced every scan even though super.detectThis returns null.,Only create the frequency-only event when the SNR gate passed (e.g. compute a boolean 'detected' from super.detectThis or re-run the SE calculation when hasBearing is false); never fabricate a detection when res==null because SE<=0.,M,Needs reading the control flow of the override against the base-class contract; nothing greppable.,-,
CR-002,A8,org.mwc.asset.legacy,ASSET.Participants,CoreParticipant,org.mwc.asset.legacy/src/ASSET/Participants/CoreParticipant.java,algorithm-correctness,logic-error,Critical,High,candidate,getSelfNoiseFor() always returns 0: own-ship self noise ignored by all passiv...,"getSelfNoiseFor declares 'final double res = 0', calls selfNoise.radiatedEnergyFor(...) and discards the result, so every caller (BroadbandSensor.getOSNoise L252, NarrowbandSensor L458, ActiveBroadbandSensor L217) feeds 0 dB own-ship noise into the passive sonar equation in InitialSensor.detectThis L177. Self noise configured via setSelfNoise/RadiatedCharacteristics has no effect, so signal excess and detection ranges are silently over-estimated for every participant that has a self-noise model. (Lines re-read by the merging reviewer; the code matches the description.)",L671-L680,Any scenario with a participant that has SelfNoise radiated characteristics and a Broadband/Narrowband sensor: detection range is identical whether self noise is 15 dB or 150 dB (see BBSensorTest.testHeloDetection L88-L99 which sets ff self noise 15).,"Return the value: 'res = selfNoise.radiatedEnergyFor(medium, status, brg_degs);' (drop the final).",S,Requires noticing that a computed value is discarded and tracing the callers into the sonar equation; a linter would flag unused result only if configured.,-,
CR-003,A1,org.mwc.asset.legacy,ASSET.Util.MonteCarlo,ScenarioGenerator,org.mwc.asset.legacy/src/ASSET/Util/MonteCarlo/ScenarioGenerator.java,security,xxe,High,High,candidate,Monte-Carlo scenario/control document parsing allows external entities,"createNewBuilder() configures namespace awareness and a schema-language attribute but never disables doctype/external entities or enables FEATURE_SECURE_PROCESSING; readDocumentFrom() parses the user-supplied scenario template and control file with it. The generated documents are later serialised and written to disk, so entity content (e.g. a local file) is also persisted into the output scenarios.",L394-L443; L477-L506,"ASSET control file with <!DOCTYPE ScenarioController [<!ENTITY f SYSTEM ""file:///C:/Users/analyst/.ssh/id_rsa"">]> and an attribute value &f;","Harden the factory (secure processing, disallow-doctype-decl, no external entities, no XInclude) in createNewBuilder().",S,grep-able,CWE-611,
CR-004,A1+A8,org.mwc.asset.legacy,ASSET.Util.MonteCarlo,ScenarioGenerator,org.mwc.asset.legacy/src/ASSET/Util/MonteCarlo/ScenarioGenerator.java,security,path-traversal,High,Medium,candidate,Output directory and file names for generated scenarios come from untrusted XML,"setVariances() takes the OutputDirectory attribute of the ScenarioController element straight from the control file; MultiScenarioPresenter only remaps it when isRelativePath() is true, so an absolute path is honoured. writeTheseToFile() then mkdirs() that directory, writes control_file.xml there and writes each scenario to getDirectory()+'/'+id+'/'+scen_name+'.xml' where scen_name is the Name attribute from the scenario template, unescaped, so '../../' sequences escape the directory. RecordToFileObserverType observers are also pointed at the same directory. A crafted control+template pair thus writes attacker-influenced XML anywhere the user can write. || writeTheseToFile builds the output path from the scenario's Name attribute without sanitising (theDir + scen_name + '.xml', L1039); a template whose Scenario Name is '../../evil' writes outside the output directory. With deleteExisting=true it also recursively deletes getDirectory() (L991), a path taken from the control file's OutputDirectory attribute (setVariances L968-L972) unless overridden. Both are untrusted data-file inputs to the Monte-Carlo generator.","L937-L978 (L966); L986-L1060 (L998-L1002, L1031-L1043); L991; L1039; L968-L972","Control file <ScenarioController OutputDirectory=""C:/Users/analyst/Startup""> plus a template whose Scenario Name=""../../evil""",Require the output directory to be chosen through the UI or restricted to the workspace; sanitise scen_name to a safe basename and verify the canonical path stays inside the output directory.,M,"Needed to trace the attribute from the SAX handler through ResultsContainer, the presenter's relative-path check and into the file writer.",MultiScenarioPresenter L549-L568; ScenarioControllerHandler L65-L70,
CR-016,A3,org.mwc.debrief.dis,org.mwc.debrief.dis.core,DISModule,org.mwc.debrief.dis/src/org/mwc/debrief/dis/core/DISModule.java,security,unbounded-allocation,High,High,candidate,EventReport PDU variableDatumLength drives byte[] allocation and iterator wit...,"handleEvent takes variableDatumLength straight from the UDP packet (VariableDatum.unmarshal reads it with readInt, so it can be negative or up to 2^31-1) and does `new byte[thisLen]` (L271-L272), then iterates thisLen times calling iter.next() on the chunk list (L275-L276). Because VariableDatum.unmarshal stops filling variableData at EOF and swallows the exception, chunks.size() is normally far smaller than thisLen: a 2 GB length gives OutOfMemoryError, a negative length gives NegativeArraySizeException, and any length larger than the remaining packet gives NoSuchElementException. All escape logPDU into NetworkDISProvider.startListening, whose catch is outside the receive loop (L288), so the DIS listener thread dies after one packet.",L267-L288,"Single 8 KB multicast datagram: PDU type 21 (EventReport), numberOfVariableDatumRecords=1, variableDatumLength=0x7FFFFFFF (or 0xFFFFFFFF) sent to the configured DIS group/port.","Clamp thisLen to chunks.size() (and to a sane max, e.g. 64 KB), treat DIS datum length as bits (divide by 8) per IEEE 1278.1, and iterate over the chunk list rather than the declared length.",S,Requires combining the swallowed-EOF behaviour in VariableDatum.unmarshal with the trusting loop in DISModule and the catch placement in NetworkDISProvider.,-,
CR-017,A3,org.mwc.debrief.dis,org.mwc.debrief.dis.providers.network,NetworkDISProvider,org.mwc.debrief.dis/src/org/mwc/debrief/dis/providers/network/NetworkDISProvider.java,bug,logic-error,High,High,candidate,Any exception from one PDU permanently kills the DIS receive loop,"startListening wraps the entire `while (_running)` loop in a single try (L241-L289); the generic catch at L288 sits outside the loop, so an exception thrown while parsing or dispatching ONE datagram (see DISModule row, or any listener bug) ends the loop, the socket is closed in finally and the view keeps showing it is connected while no further PDUs are processed. Real type: missing per-packet error isolation (robustness/DoS).",L241-L303,Any malformed EventReport PDU (see DISModule row) or a listener throwing on unexpected entity id.,Move the try/catch inside the while loop so a bad packet is logged and skipped; only exit on SocketException when !_running.,S,Simple structurally but only visible by reading loop/try nesting.,-,
CR-035,A8,org.mwc.asset.legacy,ASSET.Models.Movement,TurnAlgorithm,org.mwc.asset.legacy/src/ASSET/Models/Movement/TurnAlgorithm.java,algorithm-correctness,logic-error,High,High,candidate,doTurn() computes height delta from stale demHeight field of previous partici...,"doTurn (climb-rate branch) computes 'heightDelta = demHeight - (-depth)' at L1039 using the instance field demHeight, which is only assigned inside doTurn2 (L1132) during the previous call. Because CoreMovement holds one static TurnAlgorithm shared by all participants (CoreMovement L214), demHeight belongs to whichever participant moved last. The climb/dive phase (L1048-L1077) is therefore triggered with the wrong magnitude and sign, so helicopter/aircraft height changes are mis-timed and the default climb/dive speed is applied for the wrong duration.",L1039; L1048-L1077; CoreMovement L214,"Two helos: A at 100 m demanded 100 m, B at 0 m demanded 400 m, stepped alternately; A's doTurn sees demHeight=400 from B's previous doTurn2 and enters the climb branch although its own demanded height equals its current height.","Use demStatus.getHeight() (clamped as in doTurn2) at L1039, and make TurnAlgorithm state local to doTurn2 (or one instance per participant) instead of a static shared instance.",S,Requires tracking which field is written where and the static sharing of the object across participants.,-,
CR-036,A8,org.mwc.asset.legacy,ASSET.Util,IdNumber,org.mwc.asset.legacy/src/ASSET/Util/IdNumber.java,algorithm-correctness,nondeterminism,High,High,candidate,Participant ids from unseeded java.util.Random make runs non-reproducible and...,"generateInt uses a static 'new java.util.Random()' (L24) with no seed, independent of RandomGenerator.seed(). Ids are keys of CoreScenario's HashMaps (CoreScenario L495-L505) whose iteration order drives the order in which participants decide, move and detect (CoreScenario L1394-L1423) and therefore the order in which RandomGenerator draws are consumed. Even with a RandomSeed in the control file, two runs of the same scenario can produce different outcomes. Ids are drawn from only 1,000,000 values; a collision silently replaces the earlier participant (CoreScenario L707-L711 only prints 'DUPLICATE ENTITY').",L24-L34; CoreScenario L695-L711,Run the same Monte-Carlo scenario twice with RandomSeed=42 and participants created through createNewParticipant/ParticipantVariance; per-run detection times differ.,Draw ids from RandomGenerator (seeded) or a monotonically increasing counter; make CoreScenario reject duplicate ids or use LinkedHashMap to fix stepping order.,S,Requires tracing how ids affect HashMap order and downstream RNG consumption.,-,
CR-037,A8,org.mwc.asset.legacy,ASSET.Util.MonteCarlo,MultiScenarioGenerator,org.mwc.asset.legacy/src/ASSET/Util/MonteCarlo/MultiScenarioGenerator.java,bug,degenerate-input,High,High,candidate,createNewRandomisedPermutations loops forever when MaxPerms cannot be satisfied,"The generation loop 'while (counter < _numPerms)' (L637) rejects permutations whose hash already appears MaxPerms times, but the only escape check 'attempts > 2 * _numPerms' merely prints a message (L696-L698) and never breaks. A control file whose variance space has fewer than Number/MaxPerms distinct combinations hangs the generator (and the GUI/command-line runner) indefinitely. Same code duplicated in createNewRandomisedPermutationsOld (L731, L790).",L637-L700; L731-L794,"Control file with a single Choice of 2 values, Number=3, MaxPerms=1.",Break out of the loop (and return an error) when attempts exceed the limit.,S,"grep-able once you know to look, but recognising the missing break needs reading.",-,
CR-038,A8,org.mwc.asset.legacy,ASSET.Util.MonteCarlo,ParticipantVariance,org.mwc.asset.legacy/src/ASSET/Util/MonteCarlo/ParticipantVariance.java,algorithm-correctness,nondeterminism,High,High,candidate,"Random course and random location use Math.random(), bypassing the seeded Ran...","applyRandomCourse sets Course = Math.random()*360 (L290) and applyDistributionArea calls WorldArea.getRandomLocation() (L244), which itself uses Math.random() (MWC/GenericData/WorldArea.java L717-L719). ScenarioGenerator.doScenarioGeneration seeds only RandomGenerator (ScenarioGenerator L893-L895), so generated scenario sets are not reproducible from the RandomSeed attribute. Also 'isMonte == """"' (L346) is a string reference comparison.",L244; L290; L346,Control file with RandomSeed=7 and a ParticipantVariance with RandomCourse=true or inRandomLocations=true; regenerate twice and diff the output scenario files.,Use RandomGenerator.nextRandom() for course and add a seeded variant of WorldArea.getRandomLocation (or generate lat/long here with RandomGenerator); use isEmpty().,S,Requires knowing which RNG the seed applies to; grep for Math.random finds candidates but not the seed linkage.,-,
